"trans","plot","spcode","Plant.ID","mean.dam","n.leaves.mar","n.dam.mar","trans.type","EG.adult","SP.adult","PHAaqu","Avena","BD","BH","FESper","BROste","FESmyu","BRAdis","AVEfat","mean.dam.apr","n.leaves.apr","n.dam.apr","Seed.estimate","zseeds","zdam.mar","zdam.apr","fungus.id"
"1","D","AB","C28",0.0125,4,1,"STPU",0,3,0,84,60,46.66666667,0,0,0,0,336,NA,NA,NA,12,0.911903747427923,-0.0371940831103949,NA,NA
"1","D","AB","C30",0,3,0,"STPU",0,3,0,84,60,46.66666667,0,0,0,0,336,NA,NA,NA,0,-1.08173197569385,-0.581966696157535,NA,NA
"3","A","SP","C41",0.0188333333333333,6,5,"STPU",0,8,0,77,6.111111111,30.55555556,0,0,0,0,51.33333333,0.0136666666666667,6,6,75.4,-0.518124795004004,-0.0668751156086167,-0.351480673132349,"B"
"3","A","SP","C42",0.0883333333333333,6,6,"STPU",0,8,0,77,6.111111111,30.55555556,0,0,0,0,51.33333333,0.007,6,6,91,-0.45710371774075,3.30164432149313,-0.769554540919341,NA
"3","A","AB","C46",0.1,3,2,"STPU",0,8,0,77,6.111111111,30.55555556,0,0,0,0,51.33333333,0,6,0,0,-1.08173197569385,3.77621420821959,-0.602871386068693,NA
"3","A","SP","C47",0.0166666666666667,3,1,"STPU",0,8,0,77,6.111111111,30.55555556,0,0,0,0,51.33333333,0.0533333333333333,6,6,22,-0.727004636405143,-0.17188891100987,2.13605884020025,NA
"3","A","BH","C48",0,3,0,"STPU",0,8,0,77,6.111111111,30.55555556,0,0,0,0,51.33333333,NA,NA,NA,6,-0.358642951141255,-0.355407828438896,NA,NA
"3","A","AB","C49",0.001,2,2,"STPU",0,8,0,77,6.111111111,30.55555556,0,0,0,0,51.33333333,0.017,3,2,7,0.0812221961271835,-0.538384887113764,-0.46344792102233,"D"
"3","A","BH","C50",0,2,0,"STPU",0,8,0,77,6.111111111,30.55555556,0,0,0,0,51.33333333,NA,NA,NA,9,-0.0429512516336832,-0.355407828438896,NA,NA
"3","A","AB","C54",0,3,0,"STPU",0,8,0,77,6.111111111,30.55555556,0,0,0,0,51.33333333,0.13,2,2,8,0.247358506387331,-0.581966696157535,0.463308052521143,NA
"3","A","AB","C55",0.0336666666666667,3,3,"STPU",0,8,0,77,6.111111111,30.55555556,0,0,0,0,51.33333333,0.025,2,1,6,-0.0849141141329645,0.885287541649429,-0.39783687864757,NA
"3","D","SP","C57",0.0133333333333333,6,4,"STPU",0,7,0,31.77777778,0,72.22222222,0,0,0,541.6666667,127.1111111,NA,NA,NA,377,0.661616032085578,-0.333448596242568,NA,NA
"3","D","SP","C58",0.0185,6,4,"STPU",0,7,0,31.77777778,0,72.22222222,0,0,0,541.6666667,127.1111111,NA,NA,NA,52,-0.609656410898885,-0.0830310841318863,NA,NA
"3","D","SP","C60",0.00383333333333333,6,5,"STPU",0,7,0,31.77777778,0,72.22222222,0,0,0,541.6666667,127.1111111,NA,NA,NA,15,-0.75438588902327,-0.793893699155756,NA,NA
"3","D","BH","C62",0,2,0,"STPU",0,7,0,31.77777778,0,72.22222222,0,0,0,541.6666667,127.1111111,NA,NA,NA,3,-0.674334650648828,-0.355407828438896,NA,NA
"3","D","BH","C63",0,2,0,"STPU",0,7,0,31.77777778,0,72.22222222,0,0,0,541.6666667,127.1111111,NA,NA,NA,1,-0.884795783653876,-0.355407828438896,NA,NA
"3","D","BH","C65",0,3,0,"STPU",0,7,0,31.77777778,0,72.22222222,0,0,0,541.6666667,127.1111111,NA,NA,NA,6,-0.358642951141255,-0.355407828438896,NA,NA
"3","D","AB","C72",0.054,5,3,"STPU",0,7,0,31.77777778,0,72.22222222,0,0,0,541.6666667,127.1111111,NA,NA,NA,2,-0.749459355173556,1.77145099220611,NA,NA
"3","D","AB","C74",0.00366666666666667,3,2,"STPU",0,7,0,31.77777778,0,72.22222222,0,0,0,541.6666667,127.1111111,NA,NA,NA,6,-0.0849141141329645,-0.422166729663707,NA,NA
"3","D","AB","C75",0.042,6,3,"STPU",0,7,0,31.77777778,0,72.22222222,0,0,0,541.6666667,127.1111111,NA,NA,NA,12,0.911903747427923,1.24846928368086,NA,NA
"1","A","BH","C8",0,3,0,"STPU",0,9,0,6.666666667,0,6.666666667,0,0,0,0,4.444444444,0.0333333333333333,3,1,5,-0.463873517643779,-0.355407828438896,-0.00982616043047146,NA
"1","A","BH","C9",0,4,0,"STPU",0,9,0,6.666666667,0,6.666666667,0,0,0,0,4.444444444,NA,NA,NA,20,1.11458497989408,-0.355407828438896,NA,NA
"8","C","EG","EG088",0.00233333333333333,6,5,"ELGL",6,4,0,0,253.3333333,53.33333333,0,0,0,0,0,0.142,6,5,NA,NA,-0.515202432638629,1.25259731186489,"E"
"8","D","EG","EG083",0.00233333333333333,6,5,"ELGL",5,4,0,8,6.666666667,3.333333333,80,46.66666667,0,0,48.66666667,NA,NA,NA,71,-0.951419422725881,-0.515202432638629,NA,NA
"8","D","EG","EG084",0.00866666666666667,6,3,"ELGL",5,4,0,8,6.666666667,3.333333333,80,46.66666667,0,0,48.66666667,NA,NA,NA,136,-0.703575393421064,0.0465677952026307,NA,NA
"8","C","EG","EG085",0.00366666666666667,6,4,"ELGL",6,4,0,0,253.3333333,53.33333333,0,0,0,0,0,0.161833333333333,6,6,194,-0.482422259579842,-0.396935016250995,1.53339178990991,NA
"8","C","EG","EG087",0.00216666666666667,6,4,"ELGL",6,4,0,0,253.3333333,53.33333333,0,0,0,0,0,0.027,6,5,89,-0.882785691533778,-0.529985859687083,-0.375538737303757,"AN"
"8","B","EG","EG091",0.000666666666666667,6,4,"ELGL",8,0,0,0,0,70,46.66666667,0,0,0,0,NA,NA,NA,307.5466667,-0.0494705151327785,-0.663036703123171,NA,NA
"8","B","EG","EG092",0.000666666666666667,6,4,"ELGL",8,0,0,0,0,70,46.66666667,0,0,0,0,NA,NA,NA,250.8933333,-0.265488829339012,-0.663036703123171,NA,NA
"8","B","EG","EG094",0.000833333333333333,6,5,"ELGL",8,0,0,0,0,70,46.66666667,0,0,0,0,NA,NA,NA,85,-0.898037631798689,-0.648253276074716,NA,NA
"8","A","EG","EG096",0.002,6,3,"ELGL",7,4,0,0,0,28.88888889,0,0,0,0,0,0.175,6,6,128,-0.734079273950887,-0.544769286735537,1.71980156945241,"E"
"8","A","EG","EG097",0.0166666666666667,6,1,"ELGL",7,4,0,0,0,28.88888889,0,0,0,0,0,0.1202,5,3,35,-1.08868688511009,0.756172293528432,0.943959347761614,"E"
"8","A","EG","EG098",0.002,6,3,"ELGL",7,4,0,0,0,28.88888889,0,0,0,0,0,0.1835,6,5,206.38,-0.43521750445994,-0.544769286735537,1.84014206004314,"E"
"8","E","EG","EG150",0.0518333333333333,6,4,"ELGL",1,0,0,94.44444444,37.77777778,170,0,0,0,0,0,0.178333333333333,6,6,81,-0.913289572063601,3.87547540075227,1.76699391870368,"E"
"5","A","EG","EG154",0.0103333333333333,6,4,"ELGL",7,0,0,9.333333333,443.3333333,23.33333333,0,0,0,0,14,0.009,6,5,488.5933333,0.640857720903373,0.194402065687173,-0.630377423260589,NA
"5","A","EG","EG155",0.00216666666666667,6,4,"ELGL",7,0,0,9.333333333,443.3333333,23.33333333,0,0,0,0,14,0.00233333333333333,6,5,600.44,1.06732739073785,-0.529985859687083,-0.724762121763119,"E"
"5","A","EG","EG156",0.00866666666666667,6,3,"ELGL",7,0,0,9.333333333,443.3333333,23.33333333,0,0,0,0,14,0.00366666666666667,6,4,259.0133333,-0.234527390601241,0.0465677952026307,-0.705885182062613,"F"
"5","B","EG","EG160",0.000833333333333333,6,5,"ELGL",4,0,0,76.44444444,186.6666667,511.1111111,0,0,0,0,19.11111111,NA,NA,NA,382.6333333,0.236833823285859,-0.648253276074716,NA,NA
"5","B","EG","EG161",0.0106666666666667,6,6,"ELGL",4,0,0,76.44444444,186.6666667,511.1111111,0,0,0,0,19.11111111,NA,NA,NA,376.7466667,0.214388051450196,0.223968919784081,NA,NA
"5","B","EG","EG162",5e-04,6,3,"ELGL",4,0,0,76.44444444,186.6666667,511.1111111,0,0,0,0,19.11111111,NA,NA,NA,709.3433333,1.4825741742732,-0.677820130171625,NA,NA
"5","C","EG","EG172",0.00683333333333333,6,5,"ELGL",5,0,0,30.22222222,18.88888889,122.7777778,0,0,0,0,120.8888889,0.001,6,6,553.3466667,0.887761214146054,-0.116049902330365,-0.743639061463625,NA
"5","C","EG","EG173",5e-04,6,3,"ELGL",5,0,0,30.22222222,18.88888889,122.7777778,0,0,0,0,120.8888889,0.00916666666666667,6,6,476.82,0.595966176850749,-0.677820130171625,-0.628017805798025,"D"
"5","C","EG","EG174",5e-04,6,3,"ELGL",5,0,0,30.22222222,18.88888889,122.7777778,0,0,0,0,120.8888889,NA,NA,NA,128,-0.734079273950887,-0.677820130171625,NA,NA
"5","D","EG","EG182",0.009,6,5,"ELGL",2,0,0,64,520,130,0,0,0,0,96,NA,NA,NA,300.22,-0.0774069858451081,0.0761346492995392,NA,NA
"5","D","EG","EG183",5e-04,2,1,"ELGL",2,0,0,64,520,130,0,0,0,0,96,NA,NA,NA,161,-0.608250766765365,-0.677820130171625,NA,NA
"5","D","EG","EG184",0.000833333333333333,6,5,"ELGL",2,0,0,64,520,130,0,0,0,0,96,NA,NA,NA,0,-1.22214136242807,-0.648253276074716,NA,NA
"5","E","EG","EG190",0.0353333333333333,6,5,"ELGL",2,0,0,180,60,1120,0,0,0,0,270,0.0175,6,6,927.15,2.31306774172519,2.4119161229553,-0.510036932669863,"G"
"5","E","EG","EG191",0.002,6,3,"ELGL",2,0,0,180,60,1120,0,0,0,0,270,0.034,6,5,150,-0.650193602493872,-0.544769286735537,-0.276434803876101,NA
"6","C","EG","EG223",0.004,6,6,"ELGL",7,2,0,77.77777778,31.11111111,443.3333333,0,0,0,0,0,0.009,6,5,1067.112092,2.84674110835921,-0.367368162154087,-0.630377423260589,"E"
"6","C","EG","EG224",0.0035,6,3,"ELGL",7,2,0,77.77777778,31.11111111,443.3333333,0,0,0,0,0,0.009,6,5,545.3380406,0.85722444242575,-0.411718443299449,-0.630377423260589,"E"
"6","C","EG","EG225",0.00233333333333333,6,5,"ELGL",7,2,0,77.77777778,31.11111111,443.3333333,0,0,0,0,0,0.0055,6,6,723.7511033,1.53751078612084,-0.515202432638629,-0.679929389974417,"D"
"6","A","EG","EG233",0.0175,6,6,"ELGL",7,1,0,130,57.77777778,274.4444444,0,0,115.5555556,0,0,0.004,6,6,350.0935569,0.112760141814262,0.830089428770703,-0.701165947137486,"E"
"6","A","EG","EG234",0.0173333333333333,6,6,"ELGL",7,1,0,130,57.77777778,274.4444444,0,0,115.5555556,0,0,0.004,6,6,175,-0.554868975838173,0.815306001722249,-0.701165947137486,"E"
"6","A","EG","EG235",0.0106666666666667,6,6,"ELGL",7,1,0,130,57.77777778,274.4444444,0,0,115.5555556,0,0,0.019,6,6,205.3433363,-0.43917028766674,0.223968919784081,-0.488800375506794,"E"
"6","E","EG","EG240",0.000666666666666667,6,4,"ELGL",1,0,1,264.4444444,37.77777778,377.7777778,0,0,0,0,0,0.009,6,5,417.419241,0.369471969861143,-0.663036703123171,-0.630377423260589,"G"
"6","D","EG","EG246",5e-04,6,3,"ELGL",3,4,0,122.2222222,18.33333333,409.4444444,0,0,0,0,0,NA,NA,NA,171.6804943,-0.567526201499532,-0.677820130171625,NA,NA
"6","D","EG","EG247",0.00183333333333333,6,2,"ELGL",3,4,0,122.2222222,18.33333333,409.4444444,0,0,0,0,0,NA,NA,NA,440.9832304,0.459321109544097,-0.559552713783991,NA,NA
"6","D","EG","EG249",0.00383333333333333,6,5,"ELGL",3,4,0,122.2222222,18.33333333,409.4444444,0,0,0,0,0,NA,NA,NA,764.1465137,1.69153788272019,-0.382151589202541,NA,NA
"6","B","EG","EG253",0.025,6,2,"ELGL",6,2,0,83.33333333,5.555555556,388.8888889,0,0,0,0,0,NA,NA,NA,10,-1.18401151176579,1.49534364595114,NA,NA
"6","B","EG","EG254",0.00516666666666667,6,4,"ELGL",6,2,0,83.33333333,5.555555556,388.8888889,0,0,0,0,0,NA,NA,NA,407.3203883,0.330965195330007,-0.263884172814907,NA,NA
"6","B","EG","EG255",0.0335,6,3,"ELGL",6,2,0,83.33333333,5.555555556,388.8888889,0,0,0,0,0,NA,NA,NA,27,-1.11919076563991,2.24929842542231,NA,NA
"8","D","EG","EG328",0.0173333333333333,3,3,"ELGL",5,4,0,8,6.666666667,3.333333333,80,46.66666667,0,0,48.66666667,NA,NA,NA,98,-0.848468825937726,0.815306001722249,NA,NA
"2","C","PA","PA001",0.00833333333333333,6,1,"PHAQ",0,4,4,70,0,81.66666667,0,0,0,202.2222222,0,0.025,6,2,NA,NA,0.00163739713041875,0.38274419429454,"V"
"2","C","PA","PA002",0.00833333333333333,6,1,"PHAQ",0,4,4,70,0,81.66666667,0,0,0,202.2222222,0,0.000166666666666667,6,1,NA,NA,0.00163739713041875,-0.481329820097679,NA
"2","C","PA","PA003",0.000166666666666667,6,1,"PHAQ",0,4,4,70,0,81.66666667,0,0,0,202.2222222,0,0.000166666666666667,6,1,NA,NA,-0.407548145761237,-0.481329820097679,"L"
"2","D","PA","PA010",0,6,0,"PHAQ",0,4,3,30.55555556,0,183.3333333,0,0,0,0,0,NA,NA,NA,NA,NA,-0.415898871126373,NA,NA
"2","D","PA","PA011",0.00866666666666667,6,3,"PHAQ",0,4,3,30.55555556,0,183.3333333,0,0,0,0,0,NA,NA,NA,NA,NA,0.0183388478606904,NA,NA
"7","A","PA","PA050",0,6,0,"PHAQ",0,0,6,0,0,18.88888889,0,0,0,0,0,0.025,6,2,NA,NA,-0.415898871126373,0.38274419429454,NA
"7","A","PA","PA051",0,6,0,"PHAQ",0,0,6,0,0,18.88888889,0,0,0,0,0,0.000166666666666667,6,1,NA,NA,-0.415898871126373,-0.481329820097679,NA
"7","A","PA","PA052",0.000166666666666667,6,1,"PHAQ",0,0,6,0,0,18.88888889,0,0,0,0,0,0.126666666666667,6,3,NA,NA,-0.407548145761237,3.92022841428953,NA
"7","B","PA","PA053",0,6,0,"PHAQ",0,0,5,0,0,2.222222222,0,131.1111111,0,0,0,NA,NA,NA,NA,NA,-0.415898871126373,NA,NA
"7","B","PA","PA054",0.00833333333333333,6,1,"PHAQ",0,0,5,0,0,2.222222222,0,131.1111111,0,0,0,NA,NA,NA,NA,NA,0.00163739713041875,NA,NA
"7","B","PA","PA055",0,6,0,"PHAQ",0,0,5,0,0,2.222222222,0,131.1111111,0,0,0,NA,NA,NA,NA,NA,-0.415898871126373,NA,NA
"7","C","PA","PA056",0.00166666666666667,6,1,"PHAQ",1,0,3,0,0,141.6666667,0,0,0,0,0,0.0833333333333333,6,1,NA,NA,-0.332391617475014,2.41244825494741,NA
"7","C","PA","PA057",0.00833333333333333,6,1,"PHAQ",1,0,3,0,0,141.6666667,0,0,0,0,0,0.0335,6,3,NA,NA,0.00163739713041875,0.678501071703958,NA
"7","C","PA","PA058",0,6,0,"PHAQ",1,0,3,0,0,141.6666667,0,0,0,0,0,0.002,6,3,NA,NA,-0.415898871126373,-0.417539121048589,NA
"7","D","PA","PA059",0,6,0,"PHAQ",0,0,5,0,0,313.3333333,0,0,0,0,0,NA,NA,NA,NA,NA,-0.415898871126373,NA,NA
"2","B","PA","PA060",0.00183333333333333,6,2,"PHAQ",0,0,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-0.324040892109879,NA,NA
"2","B","PA","PA061",0,6,0,"PHAQ",0,0,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-0.415898871126373,NA,NA
"2","B","PA","PA062",0.002,6,3,"PHAQ",0,0,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-0.315690166744743,NA,NA
"2","A","PA","PA063",0.000166666666666667,6,1,"PHAQ",0,0,7,0,0,0,0,0,0,0,0,5e-04,6,3,NA,NA,-0.407548145761237,-0.469731511179663,NA
"2","A","PA","PA064",0.000166666666666667,6,1,"PHAQ",0,0,7,0,0,0,0,0,0,0,0,0.00833333333333333,6,1,NA,NA,-0.407548145761237,-0.197171251606278,NA
"7","D","PA","PA065",0,6,0,"PHAQ",0,0,5,0,0,313.3333333,0,0,0,0,0,NA,NA,NA,NA,NA,-0.415898871126373,NA,NA
"7","D","PA","PA066",0,6,0,"PHAQ",0,0,5,0,0,313.3333333,0,0,0,0,0,NA,NA,NA,NA,NA,-0.415898871126373,NA,NA
"7","E","PA","PA067",0,6,0,"PHAQ",0,0,2,119,0,661.1111111,0,0,0,0,79.33333333,0.0433333333333333,6,2,NA,NA,-0.415898871126373,1.02065118478544,NA
"2","A","PA","PA068",0.00183333333333333,6,2,"PHAQ",0,0,7,0,0,0,0,0,0,0,0,0.000333333333333333,6,2,NA,NA,-0.324040892109879,-0.475530665638671,NA
"9","A","PA","PA099",0,6,0,"PHAQ",0,0,9,0,0,0,0,0,0,0,0,0,6,0,NA,NA,-0.415898871126373,-0.487128974556688,NA
"9","A","PA","PA100",0.0416666666666667,6,1,"PHAQ",0,0,9,0,0,0,0,0,0,0,0,0.0085,6,2,NA,NA,1.67178247015758,-0.19137209714727,NA
"9","A","PA","PA101",0.0168333333333333,6,2,"PHAQ",0,0,9,0,0,0,0,0,0,0,0,0.000166666666666667,6,1,NA,NA,0.427524390752346,-0.481329820097679,"AC"
"9","B","PA","PA102",0.0166666666666667,6,1,"PHAQ",0,0,7,0,4.444444444,1.111111111,0,0,0,0,0,NA,NA,NA,NA,NA,0.41917366538721,NA,NA
"9","B","PA","PA103",0.00166666666666667,6,1,"PHAQ",0,0,7,0,4.444444444,1.111111111,0,0,0,0,0,NA,NA,NA,NA,NA,-0.332391617475014,NA,NA
"9","B","PA","PA104",0,6,0,"PHAQ",0,0,7,0,4.444444444,1.111111111,0,0,0,0,0,NA,NA,NA,NA,NA,-0.415898871126373,NA,NA
"9","C","PA","PA105",0.00183333333333333,6,2,"PHAQ",0,0,4,0,2.222222222,120,162.2222222,0,0,0,0,0,6,0,NA,NA,-0.324040892109879,-0.487128974556688,NA
"9","C","PA","PA106",0.0833333333333333,6,1,"PHAQ",0,0,4,0,2.222222222,120,162.2222222,0,0,0,0,0.000166666666666667,6,1,NA,NA,3.75946381144154,-0.481329820097679,NA
"9","C","PA","PA107",0,6,0,"PHAQ",0,0,4,0,2.222222222,120,162.2222222,0,0,0,0,0,6,0,NA,NA,-0.415898871126373,-0.487128974556688,NA
"9","D","PA","PA108",0.1,6,2,"PHAQ",0,0,3,0.277777778,0,102.7777778,0,0,0,0,2.5,NA,NA,NA,NA,NA,4.59453634795513,NA,NA
"9","D","PA","PA109",0.00183333333333333,6,2,"PHAQ",0,0,3,0.277777778,0,102.7777778,0,0,0,0,2.5,NA,NA,NA,NA,NA,-0.324040892109879,NA,NA
"9","E","PA","PA111",0.000333333333333333,6,2,"PHAQ",0,2,2,95.55555556,0,60,0,0,0,0,0,0,6,0,NA,NA,-0.399197420396101,-0.487128974556688,NA
"9","E","PA","PA112",0,6,0,"PHAQ",0,2,2,95.55555556,0,60,0,0,0,0,0,5e-04,6,3,NA,NA,-0.415898871126373,-0.469731511179663,"G"
"10","B","PA","PA364",0.0435,6,3,"PHAQ",0,0,4,0,0,194.4444444,0,0,0,0,0,NA,NA,NA,NA,NA,1.76364044917408,NA,NA
"10","B","PA","PA396",0.0085,6,2,"PHAQ",0,0,4,0,0,194.4444444,0,0,0,0,0,NA,NA,NA,NA,NA,0.00998812249555462,NA,NA
"10","B","PA","PA402",0,6,0,"PHAQ",0,0,4,0,0,194.4444444,0,0,0,0,0,NA,NA,NA,NA,NA,-0.415898871126373,NA,NA
"10","A","PA","PA403",0.000166666666666667,6,1,"PHAQ",0,0,5,0,0,81.66666667,38.33333333,0,0,0,0,0.00183333333333333,6,2,NA,NA,-0.407548145761237,-0.423338275507598,NA
"10","E","PA","PA412",0.00183333333333333,6,2,"PHAQ",0,2,2,50,83.33333333,146.6666667,220,0,0,0,0,0.000166666666666667,6,1,NA,NA,-0.324040892109879,-0.481329820097679,NA
"10","A","PA","PA434",0.000333333333333333,6,2,"PHAQ",0,0,5,0,0,81.66666667,38.33333333,0,0,0,0,0.00166666666666667,6,1,NA,NA,-0.399197420396101,-0.429137429966606,"L"
"10","A","PA","PA435",0.000166666666666667,6,1,"PHAQ",0,0,5,0,0,81.66666667,38.33333333,0,0,0,0,0.000166666666666667,6,1,NA,NA,-0.407548145761237,-0.481329820097679,NA
"10","D","PA","PA621",0.000166666666666667,6,1,"PHAQ",0,0,5,0,13.33333333,140,60,0,0,0,10,NA,NA,NA,NA,NA,-0.407548145761237,NA,NA
"10","D","PA","PA623",0.000166666666666667,6,1,"PHAQ",0,0,5,0,13.33333333,140,60,0,0,0,10,NA,NA,NA,NA,NA,-0.407548145761237,NA,NA
"10","D","PA","PA624",0.00833333333333333,6,1,"PHAQ",0,0,5,0,13.33333333,140,60,0,0,0,10,NA,NA,NA,NA,NA,0.00163739713041875,NA,NA
