"Species","Plant.ID","Seed.estimate","Notes","plot","EG.adult","EG.seed","SP.adult","SP.seed","BH","BD","Avena","FEMY","BRADIS","Forb","Fabaceae","GAST","Density","BG.spp","rust","prop.dam.mini","mean.dam.mini","treat","prop.dam","mean.dam"
"AB","X551",82,"AB",26,0.5,1,0.5,0,15,0.5,33.3333333333333,3,100,13.3333333333333,0,16.6666666666667,1,"All","0",NA,NA,"inoculation",1,0.001
"AB","X640",80,"AF",91,1,9,1,1,12,5,25,0,16.6666666666667,53.3333333333333,7,0,100,"AB seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"AB","X916",34,"AF",97,1,10,1,2,17,70,110,0,60,11,14,0,80,"BD seed","0",NA,NA,"fungicide",0,0
"AB","X974",36,"AF",106,0,1,1,0,18,61.1111111111111,20,0,75,16,30,0,10,"BD seed","0",NA,NA,"ambient",0.5,5e-04
"AB","X965",74,"AB",104,1,2,2,10,30,1,0,25,0,160,4,0,10,"SP seed","0",NA,NA,"ambient",0.666666666666667,0.000666666666666667
"AB","X957",8,"AF",31,1,3,12,1,25,1,16.6666666666667,0,30,30,14,0,10,"SP adult","1",NA,NA,"ambient",1,0.087
"AB","X1607",246,"AB",187,1,5,1,0,12,66.1111111111111,5,0,80,41.6666666666667,0,4,80,"BD seed","0",NA,NA,"ambient",0.666666666666667,0.000666666666666667
"AB","X950",38,"AB",103,1,3,2,2,840,80,16.6666666666667,0,0,15,15,0,80,"BD seed","0",NA,NA,"inoculation",1,0.001
"AB","X946",76,"AB",102,1,7,1,0,44.4444444444444,124.444444444444,46.6666666666667,0,0,2,10,0,100,"BD seed","0",NA,NA,"fungicide",0,0
"AB","X1617",158,"AF",189,1,26.6666666666667,1,0,13,3,10,0,60,20,0,0,20,"EG seed","0",NA,NA,"fungicide",0.5,5e-04
"AB","X862",12,"AF",89,1,4,2,1,300,6,2,10,0,150,58.3333333333333,0,10,"SP seed","0",NA,NA,"inoculation",NA,NA
"AB","X990",36,"AF",113,1,10,3,4,33.3333333333333,22.2222222222222,26.6666666666667,0,225,14,18,0,20,"BD seed","1",NA,NA,"ambient",1,0.007
"AB","X1115",64,"AB",110,1,1,1,3,88.8888888888889,1,126.666666666667,0,60,22.2222222222222,1,0,80,"AB seed","1",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"AB","X1109",14,"AB",109,1,360,1,0,22.2222222222222,1,8,0,150,75,2,0,80,"EG seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"AB","X1441",72,"AF",176,7,1,1,1,24,4,20,0,0,30,2,0,8,"EG adults","0",NA,NA,"fungicide",0,0
"AB","X980",8,"AB",107,1,375,1,1,120,1,1,0,20,300,2,0,100,"EG seed","0",NA,NA,"ambient",NA,NA
"AB","X1831",62,"AF",23,0.5,3,0.5,1,10.5,0.5,41.6666666666667,40,41.6666666666667,13.8888888888889,0,0.555555555555556,1,"All","0",NA,NA,"fungicide",0,0
"AB","X1147",152,"AF",44,0,6,5,1,27,0,17,0,0,60,7,0,6,"SP adult","1",NA,NA,"inoculation",1,0.0233333333333333
"AB","X1450",70,"AB",175,2,2,1,3,18,3,5,0,0,36.6666666666667,0,0,2,"EG adults","1",NA,NA,"ambient",1,0.01
"AB","X1691",148,"AF",202,0,0,1,1,7,1,1,0,25,23,0,10,100,"SP seed","1",NA,NA,"inoculation",0.666666666666667,0.000666666666666667
