"Species","Plant.ID","Seed.estimate","Notes","plot","EG.adult","SP.adult","BH","BD","Avena","Forb","Fabaceae","BRADIS","FEMY","POA","treat","Plot","trans","ind","rust","prop.dam.mini","mean.dam.mini","prop.dam","mean.dam"
"EG","EG1",2,"","4.E.fungicide",0,4,373.333333333333,175,15,18,240,0,0,0,"fungicide","E",4,"4.E.fungicide.EG1","0",NA,NA,1,0.001
"BH","BH3",8,"","6.C.inoculation",4,4,1000,0,150,100,0,0,0,200,"inoculation","C",6,"6.C.inoculation.BH3","0",NA,NA,NA,NA
"EG","EG1",2,"TOO LIGHT; <0.01","4.E.fungicide",0,4,373.333333333333,175,15,18,240,0,0,0,"fungicide","E",4,"4.E.fungicide.EG1","0",NA,NA,1,0.001
"BH","BH3",8,"","6.C.inoculation",4,4,1000,0,150,100,0,0,0,200,"inoculation","C",6,"6.C.inoculation.BH3","0",NA,NA,NA,NA
"BH","BH2",5,"TOO LIGHT; <0.01","8.E.ambient",1,1,1,22.2222222222222,66.6666666666667,360,0,0,0,0,"ambient","E",8,"8.E.ambient.BH2","0",NA,NA,NA,NA
"BH","BH3",8,"","8.E.ambient",1,1,1,22.2222222222222,66.6666666666667,360,0,0,0,0,"ambient","E",8,"8.E.ambient.BH3","0",NA,NA,NA,NA
"BD","BD2",24,"","8.E.ambient",1,1,1,22.2222222222222,66.6666666666667,360,0,0,0,0,"ambient","E",8,"8.E.ambient.BD2","0",NA,NA,NA,NA
"BH","BH1",13,"","6.E.ambient",1,1,800,66.6666666666667,266.666666666667,100,0,0,0,160,"ambient","E",6,"6.E.ambient.BH1","0",NA,NA,NA,NA
"BD","BD1",16,"","8.E.ambient",1,1,1,22.2222222222222,66.6666666666667,360,0,0,0,0,"ambient","E",8,"8.E.ambient.BD1","0",NA,NA,NA,NA
"EG","EG1",693,"","6.C.ambient",8,1,1000,1,25,125,0,0,0,0,"ambient","C",6,"6.C.ambient.EG1","0",NA,NA,1,0.0173333333333333
"BD","BD2",11,"","4.E.inoculation",0,3,960,44.4444444444444,35.5555555555556,12,450,0,0,0,"inoculation","E",4,"4.E.inoculation.BD2","0",NA,NA,NA,NA
"BH","BH1",4,"TOO LIGHT; <0.01","6.C.inoculation",4,4,1000,0,150,100,0,0,0,200,"inoculation","C",6,"6.C.inoculation.BH1","0",NA,NA,NA,NA
"BD","BD1",13,"","4.C.ambient",1,9,400,40,18,200,75,0,0,0,"ambient","C",4,"4.C.ambient.BD1","0",NA,NA,NA,NA
"BD","BD2",18,"","4.C.ambient",1,9,400,40,18,200,75,0,0,0,"ambient","C",4,"4.C.ambient.BD2","0",NA,NA,NA,NA
"BH","BH1",26,"","4.C.ambient",1,9,400,40,18,200,75,0,0,0,"ambient","C",4,"4.C.ambient.BH1","0",NA,NA,NA,NA
"BD","BD3",13,"","4.C.ambient",1,9,400,40,18,200,75,0,0,0,"ambient","C",4,"4.C.ambient.BD3","0",NA,NA,NA,NA
"BH","BH2",5,"","4.C.ambient",1,9,400,40,18,200,75,0,0,0,"ambient","C",4,"4.C.ambient.BH2","0",NA,NA,NA,NA
"BH","BH3",4,"TOO LIGHT; <0.01","4.C.fungicide",0,10,40,0,133.333333333333,0,250,1,0,0,"fungicide","C",4,"4.C.fungicide.BH3","0",NA,NA,NA,NA
"BD","X432",3,"","6.E.ambient",1,1,800,66.6666666666667,266.666666666667,100,0,0,0,160,"ambient","E",6,"6.E.ambient.X432","0",NA,NA,NA,NA
"BH","BH2",14,"","6.C.inoculation",4,4,1000,0,150,100,0,0,0,200,"inoculation","C",6,"6.C.inoculation.BH2","0",NA,NA,NA,NA
"BH","X402",2,"","5.E.ambient",0,0,133.333333333333,8,53.3333333333333,66.6666666666667,15,0,0,0,"ambient","E",5,"5.E.ambient.X402","0",NA,NA,NA,NA
"BH","BH2",6,"","6.E.inoculation",3,2,240,0,350,160,0,0,0,400,"inoculation","E",6,"6.E.inoculation.BH2","0",NA,NA,NA,NA
"BD","BD1",21,"","1.E.fungicide",0,0,0,2,360,41.6666666666667,11.1111111111111,0,0,0,"fungicide","E",1,"1.E.fungicide.BD1","0",NA,NA,NA,NA
"EG","EG1",32,"","4.C.ambient",1,9,400,40,18,200,75,0,0,0,"ambient","C",4,"4.C.ambient.EG1","0",NA,NA,1,0.004
"BH","BH3",12,"","8.A.inoculation",1,9,16.6666666666667,0,1,200,0,0,60,0,"inoculation","A",8,"8.A.inoculation.BH3","0",NA,NA,NA,NA
"BH","BH2",7,"","8.A.inoculation",1,9,16.6666666666667,0,1,200,0,0,60,0,"inoculation","A",8,"8.A.inoculation.BH2","0",NA,NA,NA,NA
"BD","BD2",37,"","8.A.fungicide",2,6,2250,100,8,375,0,0,0,0,"fungicide","A",8,"8.A.fungicide.BD2","0",NA,NA,NA,NA
"BD","BD1",8,"","8.A.fungicide",2,6,2250,100,8,375,0,0,0,0,"fungicide","A",8,"8.A.fungicide.BD1","0",NA,NA,NA,NA
"BD","BD1",5,"","8.C.inoculation",8,4,1,100,3,5,0,0,0,0,"inoculation","C",8,"8.C.inoculation.BD1","0",NA,NA,NA,NA
"BD","BD3",7,"","8.C.inoculation",8,4,1,100,3,5,0,0,0,0,"inoculation","C",8,"8.C.inoculation.BD3","0",NA,NA,NA,NA
"BH","X479",4,"","8.A.ambient",6,8,100,1,2,400,0,0,0,0,"ambient","A",8,"8.A.ambient.X479","0",NA,NA,NA,NA
"BH","BH1",10,"","8.A.ambient",6,8,100,1,2,400,0,0,0,0,"ambient","A",8,"8.A.ambient.BH1","0",NA,NA,NA,NA
"BH","BH1",10,"TOO LIGHT; <0.01","6.E.inoculation",3,2,240,0,350,160,0,0,0,400,"inoculation","E",6,"6.E.inoculation.BH1","0",NA,NA,NA,NA
"BH","BH2",11,"","1.A.fungicide",0,12,225,0,6,166.666666666667,26.6666666666667,150,0,0,"fungicide","A",1,"1.A.fungicide.BH2","0",NA,NA,NA,NA
"BD","BD3",17,"","8.A.fungicide",2,6,2250,100,8,375,0,0,0,0,"fungicide","A",8,"8.A.fungicide.BD3","0",NA,NA,NA,NA
"EG","EG1",13,"","5.C.inoculation",0,5,3,0,27.7777777777778,720,0,0,0,0,"inoculation","C",5,"5.C.inoculation.EG1","0",NA,NA,1,0.0173333333333333
"BD","BD2",6,"","3.C.ambient",1,7,0,0,200,225,9,300,0,0,"ambient","C",3,"3.C.ambient.BD2","0",NA,NA,NA,NA
"EG","EG1",43,"","4.C.inoculation",1,8,4,0,175,60,280,0,0,0,"inoculation","C",4,"4.C.inoculation.EG1","0",NA,NA,1,0.004
"BH","BH1",7,"TOO LIGHT; <0.01","1.A.fungicide",0,12,225,0,6,166.666666666667,26.6666666666667,150,0,0,"fungicide","A",1,"1.A.fungicide.BH1","0",NA,NA,NA,NA
"BH","BH3",53,"","8.A.fungicide",2,6,2250,100,8,375,0,0,0,0,"fungicide","A",8,"8.A.fungicide.BH3","0",NA,NA,NA,NA
"EG","EG1",120,"","3.A.fungicide",1,8,6,0,4,16,0,300,0,0,"fungicide","A",3,"3.A.fungicide.EG1","0",NA,NA,0.333333333333333,0.000333333333333333
"BH","BH2",17,"","8.A.fungicide",2,6,2250,100,8,375,0,0,0,0,"fungicide","A",8,"8.A.fungicide.BH2","0",NA,NA,NA,NA
"EG","EG2",910,"","6.E.inoculation",3,2,240,0,350,160,0,0,0,400,"inoculation","E",6,"6.E.inoculation.EG2","0",NA,NA,1,0.007
"BH","BH1",22,"","8.A.fungicide",2,6,2250,100,8,375,0,0,0,0,"fungicide","A",8,"8.A.fungicide.BH1","0",NA,NA,NA,NA
"EG","X474",24,"","4.A.ambient",0,12,0,0,30,15,4,1,0,0,"ambient","A",4,"4.A.ambient.X474","0",NA,NA,1,0.001
"EG","X425",21,"","3.E.ambient",0,1,6,0,100,600,27.7777777777778,450,0,0,"ambient","E",3,"3.E.ambient.X425","0",NA,NA,1,0.001
"BH","BH1",23,"","8.A.inoculation",1,9,16.6666666666667,0,1,200,0,0,60,0,"inoculation","A",8,"8.A.inoculation.BH1","0",NA,NA,NA,NA
