"plant.ID","Species","SP.adult","EG.adult","BH","BD","Avena","mean.dam","area","Seed.estimate"
AM.A.3.X417,EG,9.0,1.0,5.0,2.0,23.3333333333,0.004,nan,178
AM.C.5.EG1,EG,1.0,8.0,125.0,2.0,10.0,0.0055,nan,53
AM.C.5.EG3,EG,1.0,8.0,125.0,2.0,10.0,0.004,nan,305
AM.C.5.EG2,EG,1.0,8.0,125.0,2.0,10.0,0.000666666666667,nan,37
AM.E.5.X191,EG,0.0,0.0,133.333333333,8.0,53.3333333333,0.01,nan,335
AM.E.5.X406,EG,0.0,0.0,133.333333333,8.0,53.3333333333,0.00366666666667,nan,96
FUN.A.5.X194,EG,3.0,12.0,0.0,11.1111111111,11.1111111111,0.000666666666667,nan,177
FUN.A.5.X192,EG,3.0,12.0,0.0,11.1111111111,11.1111111111,0.001,nan,785
FUN.E.3.BD1,BD,1.0,1.0,0.0,0.0,210.0,NA,nan,8
AM.A.4.BH2,BH,12.0,0.0,0.0,0.0,30.0,NA,nan,4
AM.A.6.X448,EG,5.0,11.0,320.0,1.0,71.1111111111,0.004,nan,207
FUN.A.6.EG3,EG,8.0,6.0,300.0,350.0,100.0,0.000333333333333,nan,44
INOC.E.8.BD1,BD,0.0,3.0,0.0,2.0,100.0,NA,nan,17
AM.A.4.BH1,BH,12.0,0.0,0.0,0.0,30.0,NA,nan,5
INOC.A.8.EG1,EG,9.0,1.0,16.6666666667,0.0,1.0,NA,nan,556
INOC.E.4.BH3,BH,3.0,0.0,960.0,44.4444444444,35.5555555556,NA,nan,3
INOC.E.4.BH2,BH,3.0,0.0,960.0,44.4444444444,35.5555555556,NA,nan,3
INOC.E.4.BH1,BH,3.0,0.0,960.0,44.4444444444,35.5555555556,NA,nan,5
INOC.E.4.BD1,BD,3.0,0.0,960.0,44.4444444444,35.5555555556,NA,nan,9
AM.C.5.EG2,EG,1.0,8.0,125.0,2.0,10.0,0.000666666666667,nan,553
FUN.C.4.BH2,BH,10.0,0.0,40.0,0.0,133.333333333,NA,nan,3
AM.C.4.BH3,BH,9.0,1.0,400.0,40.0,18.0,NA,nan,7
FUN.E.4.BH3,BH,4.0,0.0,373.333333333,175.0,15.0,NA,nan,2
AM.E.6.EG240,EG,1.0,1.0,800.0,66.6666666667,266.666666667,0.007,nan,767
FUN.C.4.BH1,BH,10.0,0.0,40.0,0.0,133.333333333,NA,nan,7
FUN.A.6.EG1,EG,8.0,6.0,300.0,350.0,100.0,0.000333333333333,nan,83
AM.A.8.X482,EG,8.0,6.0,100.0,1.0,2.0,0.0336666666667,nan,107
FUN.A.5.X193,EG,3.0,12.0,0.0,11.1111111111,11.1111111111,0.000333333333333,nan,41
AM.A.5.X394,EG,0.0,22.0,0.0,53.3333333333,6.0,0.001,nan,115
AM.A.5.X188,EG,0.0,22.0,0.0,53.3333333333,6.0,0.01,nan,258
INOC.A.5.BD2,BD,12.0,6.0,4.0,3.0,7.0,NA,nan,6
AM.A.5.X186,EG,0.0,22.0,0.0,53.3333333333,6.0,0.001,nan,153
INOC.A.5.BD1,BD,12.0,6.0,4.0,3.0,7.0,NA,nan,6
INOC.C.8.EG3,EG,4.0,8.0,1.0,100.0,3.0,0.03,nan,71
FUN.E.4.BD2,BD,4.0,0.0,373.333333333,175.0,15.0,NA,nan,7
FUN.E.4.BD3,BD,4.0,0.0,373.333333333,175.0,15.0,NA,nan,56
INOC.A.5.X191,EG,12.0,6.0,4.0,3.0,7.0,0.0233333333333,nan,111
FUN.E.8.EG,EG,0.0,0.0,3.0,27.7777777778,60.0,NA,nan,0.76
INOC.C.4.BD1,BD,8.0,1.0,4.0,0.0,175.0,NA,nan,13
FUN.E.4.BH2,BH,4.0,0.0,373.333333333,175.0,15.0,NA,nan,3
FUN.A.5.BD2,BD,3.0,12.0,0.0,11.1111111111,11.1111111111,NA,nan,52
INOC.A.5.X190,EG,12.0,6.0,4.0,3.0,7.0,0.007,nan,87
INOC.E.8.EG1,EG,0.0,3.0,0.0,2.0,100.0,0.0666666666667,nan,261
INOC.A.5.X189,EG,12.0,6.0,4.0,3.0,7.0,0.0203333333333,nan,178
AM.A.5.X392,BD,0.0,22.0,0.0,53.3333333333,6.0,NA,nan,1
INOC.C.4.BD3,BD,8.0,1.0,4.0,0.0,175.0,NA,nan,15
FUN.C.1.BD1,BD,3.0,1.0,0.0,4.0,124.444444444,NA,nan,15
AM.A.5.X391,BD,0.0,22.0,0.0,53.3333333333,6.0,NA,nan,3
FUN.C.5.5C,EG,15.0,0.0,50.0,7.0,22.2222222222,NA,nan,329
INOC.C.4.BH1,BH,8.0,1.0,4.0,0.0,175.0,NA,nan,7
AM.A.8.EG2,EG,8.0,6.0,100.0,1.0,2.0,0.00366666666667,nan,47
INOC.C.4.BD2,BD,8.0,1.0,4.0,0.0,175.0,NA,nan,8
FUN.A.4.BD3,BD,12.0,0.0,266.666666667,4.0,133.333333333,NA,nan,11
INOC.C.4.BH2,BD,8.0,1.0,4.0,0.0,175.0,NA,nan,25
FUN.A.4.BD1,BD,12.0,0.0,266.666666667,4.0,133.333333333,NA,nan,11
AM.A.8.EG1,EG,8.0,6.0,100.0,1.0,2.0,0.01,nan,52
FUN.A.4.BD2,BD,12.0,0.0,266.666666667,4.0,133.333333333,NA,nan,6
INOC.C.6.EG3,EG,4.0,4.0,1000.0,0.0,150.0,0.00366666666667,nan,250
