"plant.ID","Species","SP.adult","EG.adult","BH","BD","Avena","mean.dam","area","Seed.estimate"
202.0.X1691,AB,1.0,0.0,7.0,1.0,1.0,0.000666666666667,nan,148
66.0.X624,AB,2.0,4.0,13.3333333333,1.0,9.0,0.0055,nan,124
191.0.X1631,AB,1.0,1.0,420.0,240.0,7.0,0.000666666666667,nan,64
187.0.X1509,AB,1.0,1.0,12.0,66.1111111111,5.0,0.00366666666667,nan,286
182.0.X1568,AB,1.0,1.0,1995.0,1.0,14.0,0.001,nan,82
78.0.X709,AB,1.0,0.0,16.6666666667,0.0,17.7777777778,0.000666666666667,nan,48
167.0.X1380,AB,1.0,1.0,9.0,4.0,30.0,0.000333333333333,nan,122
73.0.X777,AB,1.0,1.0,17.0,4.0,18.0,0.000333333333333,nan,38
140.0.X1220,AB,0.0,2.0,22.2222222222,1.0,7.0,0.004,nan,74
37.0.X813,AB,7.0,1.0,6.0,5.0,4.0,0.000666666666667,nan,102
161.0.X1350,AB,1.0,1.0,77.7777777778,0.0,11.0,0.000333333333333,nan,88
64.0.X623,AB,0.0,1.0,2.0,0.0,31.1111111111,0.007,nan,30
179.0.X1424,AB,1.0,0.0,5.0,1.0,25.0,0.001,nan,28
80.0.X725,AB,2.0,1.0,31.1111111111,0.0,6.66666666667,0.00366666666667,nan,144
112.0.X981,AB,1.0,1.0,1235.0,1.0,66.1111111111,NA,nan,22
14.0.X1497,AB,0.5,0.5,8.88888888889,0.5,5.55555555556,0.000666666666667,nan,84
159.0.X1342,AB,1.0,1.0,15.0,46.6666666667,10.0,0.000333333333333,nan,56
129.0.X1092,AB,2.0,1.0,11.0,1.0,6.0,0.0533333333333,nan,76
43.0.X854,AB,7.0,0.0,75.0,17.0,10.0,0.00366666666667,nan,28
87.0.X825,AB,1.0,7.0,120.0,1.0,7.0,0.0,nan,94
85.0.X803,AB,1.0,2.0,73.8888888889,4.0,16.0,0.00333333333333,nan,32
168.0.X1371,AB,0.0,1.0,630.0,0.0,7.0,0.004,nan,256
195.0.X1663,AB,1.0,6.0,10.0,1.0,17.7777777778,0.000333333333333,nan,110
125.0.X1067,AB,1.0,5.0,20.0,0.0,10.0,0.0533333333333,nan,268
128.0.X1086,AB,1.0,1.0,6.0,0.0,13.3333333333,0.01,nan,30
86.0.X819,AB,1.0,1.0,80.0,1.0,14.0,0.0,nan,30
130.0.X1152,AB,2.0,7.0,9.0,2.0,8.88888888889,0.05,nan,70
38.0.X1094,AB,8.0,1.0,27.0,1.0,11.0,0.00666666666667,nan,86
123.0.X1053,AB,1.0,1.0,990.0,3.0,17.7777777778,0.00366666666667,nan,54
72.0.X554,AB,1.0,1.0,4.0,1.0,8.0,0.00366666666667,nan,370
21.0.X524,AB,0.5,0.5,40.0,3.0,7.77777777778,0.000666666666667,nan,98
234.0.X1807,AB,1.0,0.0,8.0,3.0,18.0,0.01,nan,58
83.0.X791,AB,1.0,1.0,16.0,3.0,17.7777777778,0.0,nan,128
93.0.X894,AB,0.0,2.0,60.0,5.0,9.0,0.0,nan,96
193.0.X1599,AB,1.0,1.0,2790.0,0.0,26.6666666667,0.01,nan,108
20.0.X1561,AB,0.5,0.5,75.0,0.5,13.3333333333,0.000333333333333,nan,72
141.0.X1226,AB,4.0,1.0,225.0,8.0,5.0,0.000666666666667,nan,76
194.0.X1606,AB,1.0,1.0,10.0,66.6666666667,11.0,0.00333333333333,nan,24
94.0.X902,AB,1.0,0.0,18.0,4.0,22.2222222222,0.00366666666667,nan,16
143.0.X1241,AB,1.0,0.0,120.0,5.0,33.3333333333,NA,nan,62
99.0.X927,AB,1.0,1.0,9.0,26.6666666667,70.0,0.01,nan,84
18.0.X558,AB,0.5,0.5,4.44444444444,0.5,8.88888888889,0.001,nan,116
22.0.X523,AB,0.5,0.0,15.0,0.5,5.55555555556,0.017,nan,142
17.0.X1542,AB,0.5,0.5,9.0,3.0,11.1111111111,0.00366666666667,nan,34
197.0.X1481,AB,1.0,1.0,8.0,0.0,40.0,0.000333333333333,nan,18
79.0.X715,AB,1.0,1.0,10.0,1.0,11.0,0.0,nan,42
82.0.X734,AB,1.0,1.0,15.0,0.0,50.0,0.007,nan,48
157.0.X1279,AB,1.0,5.0,22.0,8.0,12.0,0.00333333333333,nan,52
155.0.X1322,AB,1.0,0.0,12.0,50.0,14.0,0.00333333333333,nan,40
158.0.X1331,AB,1.0,0.0,24.0,2.0,7.0,0.000333333333333,nan,128
150.0.X1263,AB,1.0,1.0,15.0,1.0,11.1111111111,0.075,nan,108
154.0.X1258,AB,1.0,1.0,4.0,450.0,40.0,0.000333333333333,nan,42
144.0.X1321,AB,1.0,0.0,125.0,2.0,11.0,NA,nan,166
148.0.X1291,AB,1.0,1.0,1615.0,0.0,33.3333333333,NA,nan,10
174.0.X1419,AB,1.0,1.0,20.0,1.0,8.0,0.0,nan,210
190.0.X1623,AB,1.0,1.0,2660.0,1.0,10.0,0.000333333333333,nan,50
18.0.X1546,AB,0.5,0.5,4.44444444444,0.5,8.88888888889,0.007,nan,46
184.0.X1574,AB,3.0,1.0,10.0,240.0,5.0,0.05,nan,44
77.0.X702,AB,1.0,1.0,50.0,1.0,5.0,NA,nan,32
50.0.X1117,AB,1.0,0.0,16.0,3.0,11.1111111111,0.02,nan,40
146.0.X1306,AB,1.0,1.0,60.0,3.0,66.6666666667,0.0,nan,56
144.0.X1315,AB,1.0,0.0,125.0,2.0,11.0,0.000666666666667,nan,38
26.0.X1868,AB,0.5,0.5,15.0,0.5,33.3333333333,0.00666666666667,nan,66
165.0.X1369,AB,1.0,1.0,10.0,5.0,10.0,0.00333333333333,nan,74
59.0.X1358,AB,4.0,0.0,16.6666666667,5.0,22.2222222222,0.0,nan,48
28.0.X1846,AB,0.0,0.5,2.0,2.0,11.1111111111,0.000666666666667,nan,26
27.0.X840,AB,0.5,0.5,3.5,0.5,22.2222222222,0.004,nan,86
30.0.X1856,AB,0.5,0.0,4.0,0.0,44.4444444444,0.000333333333333,nan,68
29.0.X1851,AB,0.5,0.0,3.0,0.5,8.88888888889,0.00666666666667,nan,80
164.0.X1414,AB,2.0,1.0,33.3333333333,2.0,6.0,NA,nan,30
40.0.X1720,AB,8.0,1.0,10.0,4.0,18.0,0.004,nan,52
41.0.X1724,AB,8.0,1.0,8.0,0.0,33.3333333333,0.004,nan,76
211.0.X1713,AB,1.0,0.0,8.0,1.0,40.0,0.001,nan,74
13.0.X1218,AB,0.5,0.5,17.5,0.5,2.22222222222,0.001,nan,142
58.0.X1208,AB,1.0,1.0,24.0,1.0,7.0,0.001,nan,102
138.0.X1204,AB,1.0,0.0,2470.0,2.0,14.0,0.000666666666667,nan,30
95.0.X908,AB,1.0,1.0,13.0,4.0,5.0,0.000333333333333,nan,58
121.0.X1041,AB,1.0,1.0,250.0,26.6666666667,13.3333333333,0.00333333333333,nan,106
15.0.X1503,AB,0.5,0.5,8.0,0.5,6.0,0.004,nan,130
119.0.X1039,AB,3.0,1.0,90.0,4.0,7.0,0.00333333333333,nan,48
117.0.X1014,AB,2.0,3.0,12.0,4.0,10.0,0.0,nan,42
115.0.X1001,AB,5.0,1.0,22.2222222222,60.0,13.0,0.00333333333333,nan,88
188.0.X1616,AB,1.0,1.0,10.0,5.0,0.0,NA,nan,38
16.0.X1532,AB,0.5,0.0,5.5,0.5,3.5,0.0055,nan,76
24.0.X1874,AB,0.0,0.5,7.5,0.5,16.6666666667,0.025,nan,52
119.0.X1026,AB,3.0,1.0,90.0,4.0,7.0,0.007,nan,60
133.0.X1174,AB,1.0,1.0,12.0,12.0,35.5555555556,NA,nan,6
118.0.X1019,AB,2.0,1.0,35.0,3.0,14.0,0.0,nan,92
84.0.X796,AB,1.0,5.0,35.5555555556,8.0,20.0,0.00666666666667,nan,32
147.0.X1302,AB,1.0,1.0,6.0,6.0,25.0,0.00333333333333,nan,42
153.0.X1250,AB,1.0,8.0,14.0,3.0,8.0,0.000666666666667,nan,28
192.0.X1582,AB,1.0,0.0,2185.0,1.0,19.0,NA,nan,6
12.0.X1487,AB,0.5,0.5,10.5,7.0,2.22222222222,0.000666666666667,nan,34
196.0.X1653,AB,1.0,0.0,1020.0,3.0,26.6666666667,NA,nan,4
199.0.X1636,AB,4.0,0.0,0.0,10.0,8.0,NA,nan,32
19.0.X1552,AB,0.5,0.5,11.5,1.0,10.0,0.0173333333333,nan,22
56.0.X1003,AB,5.0,1.0,22.2222222222,8.0,8.33333333333,0.0366666666667,nan,16
69.0.X659,AB,1.0,1.0,450.0,1.0,35.5555555556,0.00333333333333,nan,26
116.0.X1010,AB,1.0,1.0,900.0,4.0,22.0,NA,nan,10
68.0.X648,AB,1.0,1.0,1330.0,2.0,13.0,0.0005,nan,12
63.0.X619,AB,1.0,1.0,3.0,7.0,17.0,0.007,nan,18
142.0.X1232,AB,0.0,1.0,60.0,8.0,10.0,0.00366666666667,nan,26
172.0.X1460,AB,1.0,1.0,10.0,3.0,9.0,NA,nan,14
114.0.X996,AB,8.0,1.0,35.5555555556,10.0,13.3333333333,0.001,nan,112
149.0.X1286,AB,1.0,2.0,9.0,1.0,7.0,0.001,nan,12
81.0.X730,AB,1.0,1.0,960.0,0.0,38.8888888889,0.0005,nan,12
76.0.X697,AB,3.0,1.0,16.6666666667,1.0,3.0,0.001,nan,10
156.0.X1280,AB,1.0,8.0,12.0,4.0,15.0,0.0,nan,10
78.0.X1406,AB,1.0,0.0,16.6666666667,0.0,17.7777777778,NA,nan,12
22.0.X1522,AB,0.5,0.0,15.0,0.5,5.55555555556,0.00333333333333,nan,156
215.0.X1743,AB,1.0,1.0,19.0,1.0,4.0,0.0,nan,230
152.0.X1360,AB,1.0,8.0,16.0,8.0,16.0,0.0366666666667,nan,206
53.0.X1815,AB,1.0,1.0,10.0,0.0,8.0,0.00366666666667,nan,122
183.0.X1569,AB,1.0,1.0,12.0,1.0,23.3333333333,0.0,nan,252
151.0.X1272,AB,1.0,1.0,14.0,9.0,8.0,0.00366666666667,nan,210
181.0.X1515,AB,1.0,1.0,1.0,6.0,22.2222222222,0.0,nan,154
186.0.X1584,AB,1.0,1.0,12.0,0.0,3.0,0.000333333333333,nan,516
29.0.X1852,BD,0.5,0.0,3.0,0.5,8.88888888889,NA,nan,7
30.0.X1855,BD,0.5,0.0,4.0,0.0,44.4444444444,NA,nan,1
28.0.X1848,BD,0.0,0.5,2.0,2.0,11.1111111111,NA,nan,57
27.0.X1841,BD,0.5,0.5,3.5,0.5,22.2222222222,NA,nan,35
17.0.X1539,BD,0.5,0.5,9.0,3.0,11.1111111111,NA,nan,11
114.0.X991,BD,8.0,1.0,35.5555555556,10.0,13.3333333333,0.0,nan,18
120.0.X1038,BD,2.0,1.0,25.0,5.0,8.88888888889,0.000333333333333,nan,28
189.0.X1622,BD,1.0,1.0,13.0,3.0,10.0,NA,nan,18
16.0.X1533,BD,0.5,0.0,5.5,0.5,3.5,0.0,nan,17
215.0.X1742,BD,1.0,1.0,19.0,1.0,4.0,NA,nan,41
20.0.X1557,BD,0.5,0.5,75.0,0.5,13.3333333333,0.01,nan,18
116.0.X1008,BD,1.0,1.0,900.0,4.0,22.0,NA,nan,6
56.0.X1004,BD,5.0,1.0,22.2222222222,8.0,8.33333333333,0.0333333333333,nan,43
112.0.X983,BD,1.0,1.0,1235.0,1.0,66.1111111111,NA,nan,28
119.0.X1032,BD,3.0,1.0,90.0,4.0,7.0,0.000666666666667,nan,79
200.0.X1640,BD,1.0,1.0,11.0,0.0,31.1111111111,NA,nan,8
190.0.X1625,BD,1.0,1.0,2660.0,1.0,10.0,NA,nan,1
23.0.X1830,BD,0.5,0.5,10.5,0.5,41.6666666667,NA,nan,17
117.0.X1016,BD,2.0,3.0,12.0,4.0,10.0,0.000333333333333,nan,89
40.0.X1722,BD,8.0,1.0,10.0,4.0,18.0,NA,nan,45
25.0.X1889,BD,0.0,0.0,5.5,1.0,41.6666666667,NA,nan,21
199.0.X1637,BD,4.0,0.0,0.0,10.0,8.0,NA,nan,22
121.0.X316,BD,1.0,1.0,250.0,26.6666666667,13.3333333333,0.007,nan,113
197.0.X1662,BD,1.0,1.0,8.0,0.0,40.0,NA,nan,35
185.0.X1588,BD,1.0,2.0,21.0,1.0,7.0,NA,nan,2
196.0.X1654,BD,1.0,0.0,1020.0,3.0,26.6666666667,NA,nan,13
192.0.X1597,BD,1.0,0.0,2185.0,1.0,19.0,NA,nan,7
194.0.X1580,BD,1.0,1.0,10.0,66.6666666667,11.0,NA,nan,22
195.0.X1648,BD,1.0,6.0,10.0,1.0,17.7777777778,NA,nan,15
184.0.X1576,BD,3.0,1.0,10.0,240.0,5.0,NA,nan,42
183.0.X1510,BD,1.0,1.0,12.0,1.0,23.3333333333,NA,nan,93
193.0.X1600,BD,1.0,1.0,2790.0,0.0,26.6666666667,NA,nan,22
175.0.X1451,BD,1.0,2.0,18.0,3.0,5.0,NA,nan,12
172.0.X1461,BD,1.0,1.0,10.0,3.0,9.0,NA,nan,27
177.0.X1437,BD,1.0,1.0,17.0,5.0,45.0,0.001,nan,28
171.0.X1467,BD,1.0,1.0,990.0,1.0,17.7777777778,0.0,nan,11
123.0.X1054,BD,1.0,1.0,990.0,3.0,17.7777777778,NA,nan,11
115.0.X998,BD,5.0,1.0,22.2222222222,60.0,13.0,0.000333333333333,nan,66
191.0.X287,BD,1.0,1.0,420.0,240.0,7.0,NA,nan,63
118.0.X1021,BD,2.0,1.0,35.0,3.0,14.0,0.0,nan,27
22.0.X1521,BD,0.5,0.0,15.0,0.5,5.55555555556,0.0,nan,114
176.0.X1444,BD,1.0,7.0,24.0,4.0,20.0,0.0005,nan,153
21.0.X1527,BD,0.5,0.5,40.0,3.0,7.77777777778,NA,nan,101
173.0.X758,BD,1.0,1.0,5.0,630.0,13.8888888889,NA,nan,61
182.0.X1565,BD,1.0,1.0,1995.0,1.0,14.0,NA,nan,58
181.0.X1513,BD,1.0,1.0,1.0,6.0,22.2222222222,NA,nan,73
106.0.X975,BD,1.0,0.0,18.0,61.1111111111,20.0,0.0055,nan,39
122.0.X1051,BD,1.0,1.0,16.6666666667,13.3333333333,16.6666666667,0.000333333333333,nan,137
102.0.X43,BD,1.0,1.0,44.4444444444,124.444444444,46.6666666667,NA,nan,227
104.0.X960,BD,2.0,1.0,30.0,1.0,0.0,0.0005,nan,11
31.0.X956,BD,12.0,1.0,25.0,1.0,16.6666666667,0.05,nan,70
55.0.X595,BD,2.0,1.0,50.0,3.0,11.1111111111,0.004,nan,24
240.0.X590,BD,6.0,1.0,12.0,8.0,50.0,0.000333333333333,nan,11
26.0.X1869,BD,0.5,0.5,15.0,0.5,33.3333333333,0.007,nan,103
211.0.X1714,BD,1.0,0.0,8.0,1.0,40.0,NA,nan,90
139.0.X1216,BD,1.0,0.0,16.0,2.0,10.0,0.000666666666667,nan,288
18.0.X1545,BD,0.5,0.5,4.44444444444,0.5,8.88888888889,0.05,nan,131
103.0.X952,BD,2.0,1.0,840.0,80.0,16.6666666667,0.001,nan,374
24.0.X1890,BD,0.0,0.5,7.5,0.5,16.6666666667,NA,nan,51
100.0.X934,BD,6.0,1.0,560.0,38.8888888889,27.7777777778,0.0,nan,18
201.0.X1689,BD,1.0,5.0,17.0,1.0,1.0,0.05,nan,66
107.0.X977,BD,1.0,1.0,120.0,1.0,1.0,0.0,nan,24
101.0.X941,BD,1.0,8.0,33.3333333333,11.0,3.0,0.01,nan,137
91.0.X885,BD,1.0,1.0,12.0,5.0,25.0,0.000333333333333,nan,90
99.0.X932,BD,1.0,1.0,9.0,26.6666666667,70.0,NA,nan,96
89.0.X859,BD,2.0,1.0,300.0,6.0,2.0,NA,nan,50
95.0.X907,BD,1.0,1.0,13.0,4.0,5.0,0.0,nan,82
98.0.X921,BD,1.0,1.0,14.0,2.0,47.2222222222,0.0,nan,7
96.0.X910,BD,3.0,1.0,11.0,4.0,10.0,NA,nan,10
97.0.X917,BD,1.0,1.0,17.0,70.0,110.0,0.0,nan,35
